id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,home_team,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,away_team,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,winner,is_upset
401693677,2024,1,regular,2024-08-24T04:00:00.000Z,True,True,True,False,,,,124179,Lincoln (CA),ii,Independent DII,7,"[0, 0, 0, 7]",,,,108382,College of Idaho,,,45,"[14, 7, 14, 10]",,,,,,,College of Idaho,False
401635525,2024,1,regular,2024-08-24T16:00:00.000Z,False,True,True,True,47998.0,3504.0,Aviva Stadium,59,Georgia Tech,fbs,ACC,24,"[7, 7, 0, 10]",0.9913955304658811,1497.0,1513.0,52,Florida State,fbs,ACC,21,"[8, 6, 0, 7]",0.008604469534118864,1692.0,1676.0,7.822223962,,Aer Lingus College Football Classic,Florida State,False
401654665,2024,1,regular,2024-08-24T19:30:00.000Z,False,True,False,False,16125.0,3827.0,"Memorial Stadium (Stephenville, TX)",2627,Tarleton State,fcs,UAC,26,"[16, 10, 0, 0]",0.054366198232126725,,,2377,McNeese,fcs,Southland,23,"[7, 0, 3, 13]",0.9456338017678733,,,5.5640247878,,,McNeese,False
401643697,2024,1,regular,2024-08-24T20:00:00.000Z,False,True,False,False,17314.0,3971.0,University Stadium (NM),167,New Mexico,fbs,Mountain West,31,"[10, 14, 7, 0]",0.30110066648514766,1234.0,1234.0,147,Montana State,fcs,Big Sky,35,"[0, 14, 0, 21]",0.6988993335148523,,,4.9273181699,,,Montana State,False
401654662,2024,1,regular,2024-08-24T23:00:00.000Z,False,True,True,False,4358.0,3689.0,Cramton Bowl,2546,Southeast Missouri State,fcs,Big South-OVC,37,"[7, 6, 8, 16]",0.994947815730074,,,2453,North Alabama,fcs,UAC,15,"[8, 7, 0, 0]",0.005052184269926041,,,7.1719013459,,FCS Kickoff,North Alabama,False
401636372,2024,1,regular,2024-08-24T23:30:00.000Z,False,True,True,False,22210.0,4246.0,Center Parc Stadium,2450,Norfolk State,fcs,MEAC,23,"[14, 0, 3, 6]",0.918362106299498,,,50,Florida A&M,fcs,SWAC,24,"[7, 3, 14, 0]",0.081637893700502,,,4.6903128028,,Cricket MEAC/SWAC Challenge Kickoff,Florida A&M,False
401643696,2024,1,regular,2024-08-25T00:00:00.000Z,False,True,False,False,20263.0,3816.0,Mackay Stadium,2440,Nevada,fbs,Mountain West,24,"[7, 10, 7, 0]",0.1027094743544201,1222.0,1243.0,2567,SMU,fbs,ACC,29,"[0, 10, 3, 16]",0.8972905256455799,1690.0,1669.0,7.6714922497,,,SMU,False
401643858,2024,1,regular,2024-08-25T03:59:00.000Z,False,True,False,False,12206.0,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,35,"[14, 0, 7, 14]",0.9564689570884497,1227.0,1227.0,2169,Delaware State,fcs,MEAC,14,"[0, 7, 7, 0]",0.0435310429115503,,,5.224356278,,,Delaware State,False
401675545,2024,1,regular,2024-08-29T04:00:00.000Z,True,True,False,True,,6123.0,Jackson Field,2834,Sul Ross State,ii,Lone Star,21,"[0, 7, 14, 0]",,,,2704,West Texas A&M,ii,Lone Star,42,"[0, 21, 7, 14]",,,,,,,West Texas A&M,False
401673041,2024,1,regular,2024-08-29T22:00:00.000Z,False,True,False,False,6155.0,3774.0,Jayne Stadium,2413,Morehead State,fcs,Pioneer,17,"[0, 10, 0, 7]",,,,2119,Central State (OH),ii,SIAC,10,"[0, 10, 0, 0]",,,,,,,Central State (OH),False
401628580,2024,1,regular,2024-08-29T22:00:00.000Z,False,True,False,False,5421.0,717.0,Villanova Stadium,222,Villanova,fcs,CAA,24,"[10, 7, 7, 0]",0.23680753263995083,,,2754,Youngstown State,fcs,MVFC,17,"[0, 3, 7, 7]",0.7631924673600492,,,4.2684188077,,,Youngstown State,False
401674318,2024,1,regular,2024-08-29T22:00:00.000Z,False,True,False,False,,3950.0,Superior Dome,128,Northern Michigan,ii,GLIAC,7,"[0, 0, 0, 7]",,,,134,Minnesota Duluth,ii,Northern Sun,35,"[6, 7, 15, 7]",,,,,,,Minnesota Duluth,False
401628458,2024,1,regular,2024-08-29T22:00:00.000Z,False,True,False,False,47803.0,6577.0,SHI Stadium,164,Rutgers,fbs,Big Ten,44,"[7, 10, 14, 13]",0.9969831120621432,1460.0,1460.0,47,Howard,fcs,MEAC,7,"[0, 7, 0, 0]",0.003016887937856816,,,4.6819518771,,,Howard,False
